Species,Species_Label,FOFEM_sppCD,GCBM_GenSppCD,TreeType,DUFF_LITTER_BIOMASS_Ref,DUFF_BD,LITTER_BD,TREE_BIOMASS_Ref,BIOMASS_DBH_Bwood1,BIOMASS_DBH_Bwood2,BIOMASS_DBH_Bbark1,BIOMASS_DBH_Bbark2,BIOMASS_DBH_Bbranches1,BIOMASS_DBH_Bbranches2,BIOMASS_DBH_Bfoliage1,BIOMASS_DBH_Bfoliage2,BIOMASS_DBH-HT_Bwood1,BIOMASS_DBH-HT_Bwood2,BIOMASS_DBH-HT_Bwood3,BIOMASS_DBH-HT_Bbark1,BIOMASS_DBH-HT_Bbark2,BIOMASS_DBH-HT_Bbark3,BIOMASS_DBH-HT_Bbranches1,BIOMASS_DBH-HT_Bbranches2,BIOMASS_DBH-HT_Bbranches3,BIOMASS_DBH-HT_Bfoliage1,BIOMASS_DBH-HT_Bfoliage2,BIOMASS_DBH-HT_Bfoliage3
A,A - poplar spp,POPULUS,POPULUS,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
AC,AC - poplar,POPULUS,POPULUS,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
ACB,ACB - balsam poplar,POBA,POBA,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
ACT,ACT - black cottonwood,POTRI,POTRI,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
AT,AT - trembling aspen,POTRA,POTR,hardwood,Woodall and Monleon 2008 (Aspen/birch),196.5465455,76.40807027,AT - Ung 2008,0.0608,2.4735,0.0159,2.4123,0.0082,2.5139,0.0235,1.6656,0.0143,1.9369,1.0579,0.0063,2.0744,0.6691,0.015,2.9068,-0.6306,0.0284,1.602,0
AX,AX - poplar hybrid,POPULUS,POPULUS,hardwood,Woodall and Monleon 2008 (Average of Elm/ash/cottonwood & Aspen/birch),161.3059261,62.71228409,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
B,B - true fir,ABIES,ABIES,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BB - Lambert 2005,0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,0.0294,1.8357,0.864,0.0053,2.0876,0.5842,0.0117,3.5097,-1.3006,0.1245,2.523,-1.123
BA,BA - amabilis (Pacific silver) fir,ABAM,ABAM,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BA - Ung 2008,0.0424,2.4289,0.0057,2.4786,0.0322,2.1313,0.0645,1.94,0.0315,1.8297,0.8056,0.0067,2.697,-0.3105,0.042,2.0313,0,0.0453,2.4867,-0.4982
BB,BB - balsam fir,ABBA,ABBA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BB - Lambert 2005,0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,0.0294,1.8357,0.864,0.0053,2.0876,0.5842,0.0117,3.5097,-1.3006,0.1245,2.523,-1.123
BG,BG - grand fir,ABGR,ABGR,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BB - Lambert 2005,0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,0.0294,1.8357,0.864,0.0053,2.0876,0.5842,0.0117,3.5097,-1.3006,0.1245,2.523,-1.123
BL,BL - subalpine fir,ABLA,ABLA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BL - Ung 2008,0.025,2.6378,0.0061,2.5375,0.0178,2.4255,0.0416,2.013,0.022,1.6469,1.1714,0.0061,1.8603,0.7693,0.0265,3.6747,-1.5958,0.0509,2.9909,-1.2271
BN,BN - noble fir,ABPR,ABPR,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BA - Ung 2008,0.0424,2.4289,0.0057,2.4786,0.0322,2.1313,0.0645,1.94,0.0315,1.8297,0.8056,0.0067,2.697,-0.3105,0.042,2.0313,0,0.0453,2.4867,-0.4982
C,C - cedar,THUJA,THUJA,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CW - Ung 2008,0.0111,2.8027,0.0003,3.2721,0.1158,1.7196,0.1233,1.5152,0.0188,1.3376,1.5293,0.0002,2.4369,1.1315,0.0611,1.9208,0,0.1097,1.553,0
CE,CE - eastern red cedar,JUVI,JUVI,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CE - Lambert 2005,0.1277,1.9778,0.0377,1.6064,0.0254,2.2884,0.055,1.8656,0.052,1.7731,0.7054,0.0283,1.7079,0,0.0219,2.3585,0,0.2575,2.5136,-1.5565
CH,CH - eastern white cedar,THOC,THOC,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CH - Lambert 2005,0.0654,2.2121,0.0114,2.1432,0.0335,1.9367,0.0499,1.7278,0.0295,1.7026,0.9428,0.0076,1.7861,0.6132,0.0501,2.5165,-0.8774,0.0813,2.218,-0.7907
CW,CW - western red cedar,THPL,THPL,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CW - Ung 2008,0.0111,2.8027,0.0003,3.2721,0.1158,1.7196,0.1233,1.5152,0.0188,1.3376,1.5293,0.0002,2.4369,1.1315,0.0611,1.9208,0,0.1097,1.553,0
D,D - alder,ALSP,ALSP,hardwood,Woodall and Monleon 2008 (Alder/maple),180.0475283,70.00068493,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
DG,DG - green/sitka alder (n),ALVI,ALVI,hardwood,Woodall and Monleon 2008 (Alder/maple),180.0475283,70.00068493,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
DM,DM - mountain alder (n),ALTE,ALTE,hardwood,Woodall and Monleon 2008 (Alder/maple),180.0475283,70.00068493,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
DR,DR - red alder,ALRU,ALRU,hardwood,Woodall and Monleon 2008 (Alder/maple),180.0475283,70.00068493,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
DY,DY - grey alder,ALRU,ALRU,hardwood,Woodall and Monleon 2008 (Alder/maple),180.0475283,70.00068493,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
E,E - birch,BETSPP,BETULA,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EA,EA - alaska paper birch,BEPAK,BEAL,hardwood,Woodall and Monleon 2008 (Aspen/birch),196.5465455,76.40807027,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EB,EB - scrub birch,BENA,BENA,hardwood,Woodall and Monleon 2008 (Maple/beech/birch),180.0475283,70.00068493,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EG,EG - grey birch,BEPO,BEPO,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EG - Lambert 2005,0.072,2.3885,0.0168,2.2569,0.0088,2.5689,0.0099,1.8985,0.0295,1.9064,0.9139,0.0148,1.8433,0.5021,0.015,3.0347,-0.7629,0.0455,2.6447,-1.4955
EN,EN - resin birch,BEGL,BEGL,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EP,EP - paper birch,BEPA,BEPA,hardwood,Woodall and Monleon 2008 (Aspen/birch),196.5465455,76.40807027,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
ER,ER - red birch,BEOC,BEOC,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EG - Lambert 2005,0.072,2.3885,0.0168,2.2569,0.0088,2.5689,0.0099,1.8985,0.0295,1.9064,0.9139,0.0148,1.8433,0.5021,0.015,3.0347,-0.7629,0.0455,2.6447,-1.4955
ES,ES - swamp birch,BEAL,BEAL,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EW,EW - water birch,BEOC2,BEOC,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EWT,EWT - white birch,BEPA,BEPA,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EY,EY - yellow birch,BEAL2,BEAL,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EY - Lambert 2005,0.1932,2.1569,0.0192,2.2475,0.0305,2.4044,0.1119,1.3973,0.0259,1.9044,0.9715,0.0069,2.0834,0.5371,0.0325,2.3851,0,0.1683,1.2764,0
EX,EX - birch hybrid,BETSPP,BETULA,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EXP,EXP - alaska paper x paper,BETSPP,BETULA,hardwood,Woodall and Monleon 2008 (Average of Maple/beech/birch & Aspen/birch),188.2970369,73.2043776,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
EXW,EXW - water x paper,BETSPP,BETULA,hardwood,Woodall and Monleon 2008 (Aspen/birch),196.5465455,76.40807027,EWT - Ung 2008,0.0604,2.4959,0.014,2.3923,0.0147,2.5227,0.0591,1.6036,0.0333,2.0794,0.6811,0.0079,1.9905,0.6553,0.0253,3.1518,-0.9083,0.1361,2.2978,-1.0934
F,F - ash,FRASPP,FRAX,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,FR - Lambert 2005,0.1571,2.1817,0.0416,2.0509,0.0177,2.337,0.1041,1.2185,0.0224,1.7845,1.066,0.0219,1.419,0.8963,0.0176,2.3313,0,0.0761,1.3077,0
FB,FB - black ash,FRNI,FRNI,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,FB - Lambert 2005,0.0941,2.3491,0.0323,2.0761,0.0448,1.9771,0.0538,1.3584,0.0306,2.1836,0.574,0.0897,2.2634,-0.567,0.0994,2.163,-0.4809,0.0124,1.0325,0.8747
FR,FR - red ash,FRPE,FRPE,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,FR - Lambert 2005,0.1571,2.1817,0.0416,2.0509,0.0177,2.337,0.1041,1.2185,0.0224,1.7845,1.066,0.0219,1.419,0.8963,0.0176,2.3313,0,0.0761,1.3077,0
FW,FW - white ash,FRAM2,FRAM,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,FW - Lambert 2005,0.1861,2.1665,0.0406,1.9946,0.0461,2.2291,0.1106,1.2277,0.0224,1.7438,1.1899,0.0126,1.6456,0.7893,0.0354,2.3046,0,0.0195,1.0509,0.7836
FD,FD - douglas-fir,PSME,PSME,softwood,Woodall and Monleon 2008 (Douglas-fir),76.24788564,29.63415723,FD - Ung 2008,0.0204,2.6974,0.0069,2.5462,0.0404,2.1388,0.1233,1.6636,0.0191,1.5365,1.3634,0.0083,2.4811,0,0.0351,2.2421,0,0.0718,2.2935,-0.4744
FDC,FDC - douglas-fir (coast),PSME,PSME,softwood,Woodall and Monleon 2008 (Douglas-fir),76.24788564,29.63415723,FD - Ung 2008,0.0204,2.6974,0.0069,2.5462,0.0404,2.1388,0.1233,1.6636,0.0191,1.5365,1.3634,0.0083,2.4811,0,0.0351,2.2421,0,0.0718,2.2935,-0.4744
FDI,FDI - douglas-fir (interior),PSME,PSME,softwood,Woodall and Monleon 2008 (Douglas-fir),76.24788564,29.63415723,FD - Ung 2008,0.0204,2.6974,0.0069,2.5462,0.0404,2.1388,0.1233,1.6636,0.0191,1.5365,1.3634,0.0083,2.4811,0,0.0351,2.2421,0,0.0718,2.2935,-0.4744
G,G - dogwood (n),CORNUS,CORNUS,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
GP,GP - flowering dogwood (n),COFL,COFL,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
GR,GR - red-osier dogwood,COSE,COSE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
H,H - hemlock,TSUGA,TSUGA,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,HW - Ung 2008,0.0141,2.8668,0.0025,2.8062,0.0703,1.9547,0.1676,1.4339,0.0113,1.9332,1.1125,0.0019,2.3356,0.6371,0.0609,2.0021,0,0.2656,2.0107,-0.7963
HM,HM - mountain hemlock,TSME,TSME,softwood,Woodall and Monleon 2008 (Fir/spruce/mountain hemlock),76.24788564,29.63415723,HW - Ung 2008,0.0141,2.8668,0.0025,2.8062,0.0703,1.9547,0.1676,1.4339,0.0113,1.9332,1.1125,0.0019,2.3356,0.6371,0.0609,2.0021,0,0.2656,2.0107,-0.7963
HW,HW - western hemlock,TSHE,TSHE,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,HW - Ung 2008,0.0141,2.8668,0.0025,2.8062,0.0703,1.9547,0.1676,1.4339,0.0113,1.9332,1.1125,0.0019,2.3356,0.6371,0.0609,2.0021,0,0.2656,2.0107,-0.7963
HX,HX - hemlock hybrid,TSUGA,TSUGA,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,HW - Ung 2008,0.0141,2.8668,0.0025,2.8062,0.0703,1.9547,0.1676,1.4339,0.0113,1.9332,1.1125,0.0019,2.3356,0.6371,0.0609,2.0021,0,0.2656,2.0107,-0.7963
HXM,HXM - western x mountain,TSUGA,TSUGA,softwood,Woodall and Monleon 2008 (Average of Hemlock/Sitka & Fir/spruce/mountain hemlock),76.24788564,29.63415723,HW - Ung 2008,0.0141,2.8668,0.0025,2.8062,0.0703,1.9547,0.1676,1.4339,0.0113,1.9332,1.1125,0.0019,2.3356,0.6371,0.0609,2.0021,0,0.2656,2.0107,-0.7963
H1,H1 - hickory,CARYA,CARYA,hardwood,Woodall and Monleon 2008 (Oak/hickory),184.372397,71.60248606,H1 - Lambert 2005,0.2116,2.2013,0.0365,2.1133,0.0087,2.8927,0.0173,1.983,0.0139,1.5913,1.508,0.0081,1.4943,1.1324,0.005,3.0463,0,0.0121,2.0865,0
H1B,H1B - bitternut hickory,CACO,CACO,hardwood,Woodall and Monleon 2008 (Oak/hickory),184.372397,71.60248606,H1 - Lambert 2005,0.2116,2.2013,0.0365,2.1133,0.0087,2.8927,0.0173,1.983,0.0139,1.5913,1.508,0.0081,1.4943,1.1324,0.005,3.0463,0,0.0121,2.0865,0
J,J - juniper (n),JUNIPERUS,JUNIPERUS,softwood,Woodall and Monleon 2008 (Pinyon/juniper),137.5986003,53.50166766,CW - Ung 2008,0.0111,2.8027,0.0003,3.2721,0.1158,1.7196,0.1233,1.5152,0.0188,1.3376,1.5293,0.0002,2.4369,1.1315,0.0611,1.9208,0,0.1097,1.553,0
JR,JR - rocky mountain juniper (n),JUSC,JUSC,softwood,Woodall and Monleon 2008 (Pinyon/juniper),137.5986003,53.50166766,CW - Ung 2008,0.0111,2.8027,0.0003,3.2721,0.1158,1.7196,0.1233,1.5152,0.0188,1.3376,1.5293,0.0002,2.4369,1.1315,0.0611,1.9208,0,0.1097,1.553,0
L,L - larch,LARIX,LARIX,softwood,Average of all larch,137.5986003,53.50166766,LT - Lambert 2005,0.0625,2.4475,0.0174,2.1109,0.0196,2.2652,0.0801,1.4875,0.0276,1.6724,1.1443,0.012,1.7059,0.5811,0.0336,3.1335,-1.1559,0.1324,2.114,-0.8781
LA,LA - alpine larch,LALY,LALY,softwood,Woodall and Monleon 2008 (Western larch),137.5986003,53.50166766,LT - Lambert 2005,0.0625,2.4475,0.0174,2.1109,0.0196,2.2652,0.0801,1.4875,0.0276,1.6724,1.1443,0.012,1.7059,0.5811,0.0336,3.1335,-1.1559,0.1324,2.114,-0.8781
LS,LS - siberian larch,LASI,LASI,softwood,Woodall and Monleon 2008 (Western larch),137.5986003,53.50166766,LT - Lambert 2005,0.0625,2.4475,0.0174,2.1109,0.0196,2.2652,0.0801,1.4875,0.0276,1.6724,1.1443,0.012,1.7059,0.5811,0.0336,3.1335,-1.1559,0.1324,2.114,-0.8781
LT,LT - tamarack larch,LALA,LALA,softwood,Woodall and Monleon 2008 (Western larch),137.5986003,53.50166766,LT - Lambert 2005,0.0625,2.4475,0.0174,2.1109,0.0196,2.2652,0.0801,1.4875,0.0276,1.6724,1.1443,0.012,1.7059,0.5811,0.0336,3.1335,-1.1559,0.1324,2.114,-0.8781
