Species,Species_Label,FOFEM_sppCD,GCBM_GenSppCD,TreeType,DUFF_LITTER_BIOMASS_Ref,DUFF_BD,LITTER_BD,TREE_BIOMASS_Ref,BIOMASS_DBH_Bwood1,BIOMASS_DBH_Bwood2,BIOMASS_DBH_Bbark1,BIOMASS_DBH_Bbark2,BIOMASS_DBH_Bbranches1,BIOMASS_DBH_Bbranches2,BIOMASS_DBH_Bfoliage1,BIOMASS_DBH_Bfoliage2,BIOMASS_DBH-HT_Bwood1,BIOMASS_DBH-HT_Bwood2,BIOMASS_DBH-HT_Bwood3,BIOMASS_DBH-HT_Bbark1,BIOMASS_DBH-HT_Bbark2,BIOMASS_DBH-HT_Bbark3,BIOMASS_DBH-HT_Bbranches1,BIOMASS_DBH-HT_Bbranches2,BIOMASS_DBH-HT_Bbranches3,BIOMASS_DBH-HT_Bfoliage1,BIOMASS_DBH-HT_Bfoliage2,BIOMASS_DBH-HT_Bfoliage3
LW,LW - western larch,LAOC,LAOC,softwood,Woodall and Monleon 2008 (Western larch),137.5986003,53.50166766,LT - Lambert 2005,0.0625,2.4475,0.0174,2.1109,0.0196,2.2652,0.0801,1.4875,0.0276,1.6724,1.1443,0.012,1.7059,0.5811,0.0336,3.1335,-1.1559,0.1324,2.114,-0.8781
M,M - maple,ACER,ACER,hardwood,Woodall and Monleon 2008 (Maple/beech/birch),180.0475283,70.00068493,MS - Lambert 2005,0.1315,2.3129,0.0631,1.9241,0.033,2.3741,0.0393,1.693,0.0301,2.0313,0.8171,0.0103,1.7111,0.8509,0.0661,2.594,-0.4933,2.5019,2.4527,-2.3008
MB,MB - bigleaf maple,ACMA,ACMA,hardwood,Woodall and Monleon 2008 (Maple/beech/birch),180.0475283,70.00068493,MS - Lambert 2005,0.1315,2.3129,0.0631,1.9241,0.033,2.3741,0.0393,1.693,0.0301,2.0313,0.8171,0.0103,1.7111,0.8509,0.0661,2.594,-0.4933,2.5019,2.4527,-2.3008
MR,MR - Douglas maple (n),ACGL,ACGL,hardwood,Woodall and Monleon 2008 (Maple/beech/birch),180.0475283,70.00068493,MS - Lambert 2005,0.1315,2.3129,0.0631,1.9241,0.033,2.3741,0.0393,1.693,0.0301,2.0313,0.8171,0.0103,1.7111,0.8509,0.0661,2.594,-0.4933,2.5019,2.4527,-2.3008
MRD,MRD - red maple,ACRU,ACRU,hardwood,Woodall and Monleon 2008 (Maple/beech/birch),180.0475283,70.00068493,MRD - Lambert 2005,0.1014,2.3448,0.0291,2.0893,0.0175,2.4846,0.0515,1.5198,0.0315,2.0342,0.7485,0.0283,2.0907,0,0.0225,2.4106,0,0.0571,1.4898,0
MS,MS - sugar maple,ACSA,ACSA,hardwood,Woodall and Monleon 2008 (Maple/beech/birch),180.0475283,70.00068493,MS - Lambert 2005,0.1315,2.3129,0.0631,1.9241,0.033,2.3741,0.0393,1.693,0.0301,2.0313,0.8171,0.0103,1.7111,0.8509,0.0661,2.594,-0.4933,2.5019,2.4527,-2.3008
MV,MV - vine maple (n),ACCI,ACCI,hardwood,Woodall and Monleon 2008 (Alder/maple),180.0475283,70.00068493,MS - Lambert 2005,0.1315,2.3129,0.0631,1.9241,0.033,2.3741,0.0393,1.693,0.0301,2.0313,0.8171,0.0103,1.7111,0.8509,0.0661,2.594,-0.4933,2.5019,2.4527,-2.3008
P,P - pine,PINSPP,PINUS,softwood,"Woodall and Monleon 2008 (Average of Ponderosa pine, Lodgepole pine & White/red/jack pine)",162.2670339,63.11274568,PL - Ung 2008,0.0323,2.6825,0.0144,2.1768,0.0209,2.1772,0.0584,1.6432,0.0239,1.6827,1.1878,0.0117,1.6398,0.6524,0.0285,3.3764,-1.4395,0.0769,2.6834,-1.2484
PA,PA - whitebark pine,PIAL,PIAL,softwood,Woodall and Monleon 2008 (White/red/jack pine),211.6039011,82.33490172,PR - Lambert 2005,0.0564,2.4465,0.0188,2.0527,0.0033,2.7515,0.0212,2.069,0.0106,1.7725,1.3285,0.0277,1.5192,0.4645,0.0125,3.3865,-1.1939,0.0731,2.3439,-0.7378
PF,PF - limber pine,PIFL,PIFL,softwood,Woodall and Monleon 2008 (White/red/jack pine),211.6039011,82.33490172,PR - Lambert 2005,0.0564,2.4465,0.0188,2.0527,0.0033,2.7515,0.0212,2.069,0.0106,1.7725,1.3285,0.0277,1.5192,0.4645,0.0125,3.3865,-1.1939,0.0731,2.3439,-0.7378
PJ,PJ - jack pine,PIBA,PIBA,softwood,Woodall and Monleon 2008 (White/red/jack pine),211.6039011,82.33490172,PJ - Lambert 2005,0.0804,2.4041,0.0184,2.0703,0.0079,2.4155,0.0389,1.729,0.0199,1.6883,1.2456,0.0141,1.5994,0.5957,0.0185,3.0584,-0.9816,0.0325,1.7879,0
PL,PL - lodgepole pine,PICO,PICO,softwood,Woodall and Monleon 2008 (Lodgepole pine),137.5986003,53.50166766,PL - Ung 2008,0.0323,2.6825,0.0144,2.1768,0.0209,2.1772,0.0584,1.6432,0.0239,1.6827,1.1878,0.0117,1.6398,0.6524,0.0285,3.3764,-1.4395,0.0769,2.6834,-1.2484
PLC,PLC - lodgepole pine (coast),PICO,PICO,softwood,Woodall and Monleon 2008 (Lodgepole pine),137.5986003,53.50166766,PL - Ung 2008,0.0323,2.6825,0.0144,2.1768,0.0209,2.1772,0.0584,1.6432,0.0239,1.6827,1.1878,0.0117,1.6398,0.6524,0.0285,3.3764,-1.4395,0.0769,2.6834,-1.2484
PLI,PLI - lodgepole pine (interior),PICO,PICO,softwood,Woodall and Monleon 2008 (Lodgepole pine),137.5986003,53.50166766,PL - Ung 2008,0.0323,2.6825,0.0144,2.1768,0.0209,2.1772,0.0584,1.6432,0.0239,1.6827,1.1878,0.0117,1.6398,0.6524,0.0285,3.3764,-1.4395,0.0769,2.6834,-1.2484
PP,PP - pitch pine,PIRI,PIRI,softwood,Woodall and Monleon 2008 (Lodgepole pine),137.5986003,53.50166766,PE - Lambert 2005,0.0997,2.2709,0.0192,2.2038,0.0056,2.6011,0.0284,1.9375,0.017,1.7779,1.137,0.0069,1.6589,0.9582,0.0184,3.1968,-1.0876,0.0584,2.2389,-0.5968
PR,PR - red pine,PIRE,PIRE,softwood,Woodall and Monleon 2008 (White/red/jack pine),211.6039011,82.33490172,PR - Lambert 2005,0.0564,2.4465,0.0188,2.0527,0.0033,2.7515,0.0212,2.069,0.0106,1.7725,1.3285,0.0277,1.5192,0.4645,0.0125,3.3865,-1.1939,0.0731,2.3439,-0.7378
PW,PW - western white pine,PIMO,PIMO,softwood,Woodall and Monleon 2008 (White/red/jack pine),211.6039011,82.33490172,PR - Lambert 2005,0.0564,2.4465,0.0188,2.0527,0.0033,2.7515,0.0212,2.069,0.0106,1.7725,1.3285,0.0277,1.5192,0.4645,0.0125,3.3865,-1.1939,0.0731,2.3439,-0.7378
PE,PE - eastern white pine,PIST,PIST,softwood,Woodall and Monleon 2008 (White/red/jack pine),211.6039011,82.33490172,PE - Lambert 2005,0.0997,2.2709,0.0192,2.2038,0.0056,2.6011,0.0284,1.9375,0.017,1.7779,1.137,0.0069,1.6589,0.9582,0.0184,3.1968,-1.0876,0.0584,2.2389,-0.5968
PX,PX - pine hybrid,PICO,PINUS,softwood,Woodall and Monleon 2008 (Average of Lodgepole pine & White/red/jack pine),174.6012507,67.91828469,PL - Ung 2008,0.0323,2.6825,0.0144,2.1768,0.0209,2.1772,0.0584,1.6432,0.0239,1.6827,1.1878,0.0117,1.6398,0.6524,0.0285,3.3764,-1.4395,0.0769,2.6834,-1.2484
PXJ,PXJ - lodgepole x jack,PICO,PINUS,softwood,Woodall and Monleon 2008 (Average of Lodgepole pine & White/red/jack pine),174.6012507,67.91828469,PL - Ung 2008,0.0323,2.6825,0.0144,2.1768,0.0209,2.1772,0.0584,1.6432,0.0239,1.6827,1.1878,0.0117,1.6398,0.6524,0.0285,3.3764,-1.4395,0.0769,2.6834,-1.2484
PY,PY - yellow pine,PIPO,PIPO,softwood,Woodall and Monleon 2008 (Ponderosa pine),137.5986003,53.50166766,PR - Lambert 2005,0.0564,2.4465,0.0188,2.0527,0.0033,2.7515,0.0212,2.069,0.0106,1.7725,1.3285,0.0277,1.5192,0.4645,0.0125,3.3865,-1.1939,0.0731,2.3439,-0.7378
Q,Q - oak,QUESPP,QUERCUS,hardwood,Woodall and Monleon 2008 (Oak/pine),215.9288862,83.93674806,QW - Lambert 2005,0.0762,2.3335,0.0338,1.9845,0.0113,2.6211,0.0188,1.7881,0.0442,1.6818,1.031,0.0308,1.7479,0.3504,0.0022,2.0165,1.3953,0.0053,1.2822,1.323
QG,QG - garry oak,QUGA,QUGA,hardwood,Woodall and Monleon 2008 (Oak/pine),215.9288862,83.93674806,QW - Lambert 2005,0.0762,2.3335,0.0338,1.9845,0.0113,2.6211,0.0188,1.7881,0.0442,1.6818,1.031,0.0308,1.7479,0.3504,0.0022,2.0165,1.3953,0.0053,1.2822,1.323
QR,QR - red oak,QURU,QURU,hardwood,Woodall and Monleon 2008 (Oak/pine),215.9288862,83.93674806,QR - Lambert 2005,0.1754,2.1616,0.0381,2.0991,0.0085,2.779,0.0373,1.674,0.0285,1.8501,1.0204,0.0326,1.81,0.4153,0.0013,3.0637,0.3153,0.0582,1.5438,0
QW,QW - white oak,QUAL,QUAL,hardwood,Woodall and Monleon 2008 (Oak/pine),215.9288862,83.93674806,QW - Lambert 2005,0.0762,2.3335,0.0338,1.9845,0.0113,2.6211,0.0188,1.7881,0.0442,1.6818,1.031,0.0308,1.7479,0.3504,0.0022,2.0165,1.3953,0.0053,1.2822,1.323
RA,RA - arbutus (n),ARME,ARME,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
S,S - spruce,PICSPP,PICEA,softwood,"Woodall and Monleon 2008 (Average of Fir/spruce/mountain hemlock, Spruce/fir & Hemlock/Sitka spruce)",76.24788564,29.63415723,SB - Ung 2008,0.0494,2.5025,0.0148,2.2494,0.0291,2.0751,0.1631,1.4222,0.0335,1.7389,0.9835,0.0132,1.7657,0.5775,0.0405,3.1917,-1.3674,0.2078,2.5517,-1.3453
SA,SA - norway spruce,PIAB,PIAB,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SW - Ung 2008,0.0334,2.598,0.0114,2.3057,0.0302,2.0927,0.1515,1.5012,0.0252,1.7819,1.0022,0.0096,1.6901,0.7393,0.0322,2.8961,-0.9203,0.1832,2.4144,-1.0948
SB,SB - black spruce,PIMA,PIMA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SB - Ung 2008,0.0494,2.5025,0.0148,2.2494,0.0291,2.0751,0.1631,1.4222,0.0335,1.7389,0.9835,0.0132,1.7657,0.5775,0.0405,3.1917,-1.3674,0.2078,2.5517,-1.3453
SE,SE - engelmann spruce,PIEN,PIEN,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SE - Ung 2008,0.0223,2.7169,0.0118,2.2733,0.0336,2.2123,0.0683,1.8022,0.0133,1.3303,1.6877,0.0086,1.6216,0.8192,0.0428,2.7965,-0.7328,0.0854,2.4388,-0.763
SR,SR - red spruce,PIRU,PIRU,softwood,"Woodall and Monleon 2008 (Average of Fir/spruce/mountain hemlock, Spruce/fir & Hemlock/Sitka spruce)",76.24788564,29.63415723,SR - Ung 2008,0.0989,2.2814,0.022,2.0908,0.0005,3.275,0.0066,2.4213,0.0143,1.6441,1.4065,0.0274,2.0188,0,0.0005,3.3136,0,0.0106,2.2709,0
SS,SS - sitka spruce,PISI,PISI,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,SS - Ung 2008,0.0302,2.5776,0.0066,2.4433,0.0739,1.8342,0.0157,2.3113,0.0237,2.5813,0.0822,0.0045,1.2275,1.519,0.0498,1.9671,0,0.014,3.1305,-0.907
SW,SW - white spruce,PIGL,PIGL,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SW - Ung 2008,0.0334,2.598,0.0114,2.3057,0.0302,2.0927,0.1515,1.5012,0.0252,1.7819,1.0022,0.0096,1.6901,0.7393,0.0322,2.8961,-0.9203,0.1832,2.4144,-1.0948
SX,SX - spruce hybrid,PILU,PILU,softwood,Woodall and Monleon 2008 (Fir/spruce/mountain hemlock),76.24788564,29.63415723,SE - Ung 2008,0.0223,2.7169,0.0118,2.2733,0.0336,2.2123,0.0683,1.8022,0.0133,1.3303,1.6877,0.0086,1.6216,0.8192,0.0428,2.7965,-0.7328,0.0854,2.4388,-0.763
SXB,SXB - white x black,PICSPP,PICEA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SB - Ung 2008,0.0494,2.5025,0.0148,2.2494,0.0291,2.0751,0.1631,1.4222,0.0335,1.7389,0.9835,0.0132,1.7657,0.5775,0.0405,3.1917,-1.3674,0.2078,2.5517,-1.3453
SXE,SXE - engelmann x sitka,PICSPP,PICEA,softwood,Woodall and Monleon 2008 (Average of Spruce/fir & Hemlock/Sitka spruce),76.24788564,29.63415723,SS - Ung 2008,0.0302,2.5776,0.0066,2.4433,0.0739,1.8342,0.0157,2.3113,0.0237,2.5813,0.0822,0.0045,1.2275,1.519,0.0498,1.9671,0,0.014,3.1305,-0.907
SXL,SXL - white x sitka (picea x lutzii),PICSPP,PICEA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SS - Ung 2008,0.0302,2.5776,0.0066,2.4433,0.0739,1.8342,0.0157,2.3113,0.0237,2.5813,0.0822,0.0045,1.2275,1.519,0.0498,1.9671,0,0.014,3.1305,-0.907
SXS,SXS - sitka x unknown hybrid,PICSPP,PICEA,softwood,Woodall and Monleon 2008 (Average of Spruce/fir & Hemlock/Sitka spruce),76.24788564,29.63415723,SS - Ung 2008,0.0302,2.5776,0.0066,2.4433,0.0739,1.8342,0.0157,2.3113,0.0237,2.5813,0.0822,0.0045,1.2275,1.519,0.0498,1.9671,0,0.014,3.1305,-0.907
SXW,SXW - white x engelmann,PIEN,PICEA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,SS - Ung 2008,0.0302,2.5776,0.0066,2.4433,0.0739,1.8342,0.0157,2.3113,0.0237,2.5813,0.0822,0.0045,1.2275,1.519,0.0498,1.9671,0,0.014,3.1305,-0.907
SXX,SXX - white x engelmann x sitka,PIEN,PICEA,softwood,Woodall and Monleon 2008 (Average of Spruce/fir & Hemlock/Sitka spruce),76.24788564,29.63415723,SS - Ung 2008,0.0302,2.5776,0.0066,2.4433,0.0739,1.8342,0.0157,2.3113,0.0237,2.5813,0.0822,0.0045,1.2275,1.519,0.0498,1.9671,0,0.014,3.1305,-0.907
T,T - yew,TAXUS,TAXUS,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
TW,TW - western or pacific yew,TABR,TABR,softwood,Woodall and Monleon 2008 (Hemlock/Sitka spruce),76.24788564,29.63415723,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
UP,UP - pacific crab apple (malus fusca),MACO,MACO,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
V,V - cherry (n),PRUSPP,PRUNUS,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VB,VB - bitter cherry (n),PREM,PREM,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VL,VL - black cherry,PRSE,PRSE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VP,VP - pin cherry,PRPE,PRPE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
VW,VW - choke cherry,PRVI,PRVI,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,VL - Lambert 2005,0.3743,1.9406,0.0679,1.8377,0.0796,2.0103,0.084,1.2319,0.0181,1.7013,1.3057,0.0101,1.5956,0.919,0.0005,2.8004,0.8603,0.1976,1.4421,-0.5264
W,W - willow,SALIX,SALIX,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WA,WA - barclay's willow,SABA,SABA,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WB,WB - bebb's willow,SABE,SABE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WD,WD - grey-leaved willow,SACI,SACI,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WS,WS - scouler's willow,SASC,SASC,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WT,WT - tea-leaved willow,SAPL,SAPL,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
XC,XC - Unknown conifer,UNKSOFT,UNKSOFT,softwood,Average of all conifers,112.6563967,43.8032162,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
XH,XH - Unknown hardwood,UNKHARD,UNKHARD,hardwood,Average of all hardwoods,180.2777937,70.05875186,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
Y,Y - cypress,CYPRESS,CYPRESS,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CE - Lambert 2005,0.1277,1.9778,0.0377,1.6064,0.0254,2.2884,0.055,1.8656,0.052,1.7731,0.7054,0.0283,1.7079,0,0.0219,2.3585,0,0.2575,2.5136,-1.5565
YC,YC - yellow cedar,CANO,CANO,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CE - Lambert 2005,0.1277,1.9778,0.0377,1.6064,0.0254,2.2884,0.055,1.8656,0.052,1.7731,0.7054,0.0283,1.7079,0,0.0219,2.3585,0,0.2575,2.5136,-1.5565
ZC,ZC - Other conifer,OTHSOFT,OTHSOFT,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
ZH,ZH - Other hardwood,OTHHARD,OTHHARD,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
UNK,UNK - Unknown (Fuel Load Module),UNK,UNK,softwood,Average of everything,146.4670952,56.93098403,UNK,0.0741,2.3875,0.0182,2.2181,0.0227,2.2797,0.0764,1.5861,0.0283,1.8298,0.9546,0.012,1.6378,0.7746,0.0338,2.6624,-0.5743,0.1699,2.3289,-1.1316
